"link","lien"
"Settings.MargeProject","Vous ne pouvez fusionner le projet qu'avec d'autre projet que vous gérez."
"Merge Project","Fusionner le projet"
"Transfer Project","Transferer le projet"
"Type project name","Nom de projet"
"Select user login","Selectionner un identifiant utilisateur"
"Remove Project","Supprimer projet"
"Farm.Setting.Text1","Vous êtes sur le point de supprimer la ferme"
"Type Project Name","Vous êtes sur le point de fusionner la ferme"
"You are going to merge farm","Vous êtes sur le point de fusionner des fermes"
"Merged project CANNOT be restored!","Les projets fusionner NE PEUVENT PAS être restorés!"
"Are you ABSOLUTELY sure?","Êtes-vous COMPLETEMENT sûr ?"
"Save Changes","Sauvegarder les changements"
"Timezone changed","Fuseau horaire modifiée"
"Farm changed","Ferme modifiée"
"Farm.Settings.TagsDescription","Ajoutez vos tags personnalisés pour identifier vos RIGs"
"Farm.Settings.RemoveDescription1","Supprimer ce projet entraînera la suppression de son repertoire et de toutes les resources associées ainsi que les erreurs, les demandes de fusions etc."
"Farm.Settings.RemoveDescription2","Les fermes supprimées NE PEUVENT PAS être restorées!"
"Farm Title","Titre de la ferme"
"Remove Farm","Supprimer la ferme"
"Question.ChangeFarmOwner","Changer le propriétaire de la ferme?"
"ChangeOwnership","changer le propriétaire pour"
"Leave Farm","Quitter la ferme"
"Settings.LeaveFarm","Vous n'aurez plus du tout accès à la ferme après cela."
"RemoveFarmAccess","pour supprimer l'accès à la ferme"
"Question.RemoveAccess","Voulez-vous supprimer vos accès?"
"Question.RemoveFarm","Voulez-vous supprimer la ferme?"
"Question.LeaveFarm","Voulez-vous quitter la ferme?"
"Farm.Setting.FarmHashDescription1","Le hash de la ferme est utilisé pour connecter le RIG à la ferme sans pour autant le créer en amont sur le Web."
"Farm.Setting.FarmHashDescription2","Réglez le paramétrage"
"Farm.Setting.FarmHashDescription3","Avant de commencer."
"More details","Plus de détails"
"Farm Hash","Hash de la Ferme"
"Transfer farm","Transferer la ferme"
"Farm.Setting.TransferDescription","Transférer la ferme à un autre utilisateur. Spécifier l'identifiant d'un utilisateur existant qui sera le nouveau propriétaire de la ferme."
"No wallets found so far.","Aucun portefeuille trouvé pour l'instant."
"FlightSheetForm.NamePlaceholder","Entrer le nom de la feuille de route"
"FSFormItem.DcriHelp","Decred/Siacoin/Lbry/Pascal intensité. Valeure par défaut est 30. Pour PASC la valeure raisonnable est environ 10, pour SIA environ 15. Des valeurs trop hautes provoqueront une chute de performance sur l'ETH."
"PoolConfigModal.Advanced","Configuration avancée"
"PoolConfigModal.AdvancedHint","<strong>Attention.</strong> Chaque URL doit être sur une nouvelle ligne."
"PoolConfigModal.PoolUrls","Entrer URLs"
"FS.ConfiguredInMiner","Configurer dans le miner"
"AutoFan","Réglage automatique des Fans"
"Token","Token"
"PageNotFound","Désolé, cette page n'existe pas."
"ConfirmPassword.Message","Entrer un nouveau mot de passe, un token vou sera envoyé par mail"
"Ethminer.OpenCLCudaHint","Choisissez une plateforme GPU. Utiliser OpenCL & CUDA ensemble pour engendrer des erreurs. Essayer d'utiliser <code>--opencl-platform 1</code> ou <code>0</code> dans les paramètres avancés pour que cela fonctionne."
"AllRedTemps.Hint","La temperature sera rouge au-dessus de ces valeurs"
"RedTemp.Hint","La temperature sera rouge au-dessus de cette valeur"
"AutoFans.NoAMD","Ne pas piloter les cartes ADM, seulement Nvidia."
"AutoFans.Info","Activer la gestion des ventilo. La température sera maintenue proche de la valeur cible. Le minage sera stoppé quand la valeur critique sera atteinte. N'oublier pas de désactiver la gestion des ventilo pour les cartes AMD pour le mineur."
"RadeonCardFrom.coreState.text3","ou 'Niveau d'alimentation' du GPU. Pour les cartes RX la valeur à partir de"
"RadeonCardFrom.AggressiveUndervolting","Sous-tension aggressif (Déterminer l'OC pour chaque état DPM)"
"Settings.VPN","VPN can't be changed right now. Command is running"
"VPN.HelpInfo","Les fichiers seront nommés comme suit, donc les certificats dans client.conf devraient s'appeler ca.crt, client.crt, client.key. Vous pouvez également incorporer des certificats dans client.conf et télécharger un seul fichier."
"Required filed","Champs requis"
"Promocode","Promocode"
"GPU","GPU"
"ASICS","ASICS"
"Account Login","Connexion au compte"
"Password changed","Mot de passe changé"
"Settings.transferTargetText","Vous avez déjà envoyé une demande de virement à"
"FarmTempHeader.GPUCriticalTemperature","GPU Température Critique"
"Account.AuthenticationTwoFactor1","SAUVEGARDER CE CODE. Le meilleur moyen est de faire une capture d'écran et de l'imprimer."
"Account.AuthenticationTwoFactor2","Si vous perdez le code, vous ne pourrez pas restaurer l'accès au compte si vous perdez votre appareil d'authentification (votre téléphone)."
"SelectAmd","Sélectionnez carte AMD"
"Activity","Activité"
"Access","Accès"
"Settings","Paramètres"
"Unsubscribe","Désabonner"
"File shouldn't be empty","Le fichier ne doit pas être vide"
"TheLatestActivity","La dernière activité"
"Referal.EnterPromocode","Votre code promo personnalisé ici"
"FlightSheetFrom.AddMiner","Si vous devez exécuter plusieurs mineurs"
"Settings.NotificationSubscribe","Vous n'êtes pas abonné"
"OverclockingAlgoFrom.Title1","Modifier les paramètres d'overclocking"
"OverclockingAlgoFrom.Title2","Configurer les paramètres d'overclocking"
"NewWallet","Nouveau portefeuille"
"EditWallet","Editer portefeuille"
"Settings.Notifications.AccountLogin","Connexion au compte"
"Settings.Notifications.DetectedWorkerOffline","RIG déconnecté"
"Settings.Notifications.DetectedWorkerOnline","RIG connecté"
"Settings.Notifications.WorkerBooted","RIG démarré"
"Settings.Notifications.ErrorMessages","Messages d'erreur"
"Settings.Notifications.WarningMessages","Messages d'avertissement"
"Settings.Notifications.InfoMessages","Messages d'information"
"Settings.Notifications.SuccessMessages","Messages de réussite"
"Settings.Notifications.GPUTemp","Temp GPU >= Temp Rouge + 3°"
"Settings.Notifications.HourlySummary","Résumé horaire"
"ConfirmTransferToHive.Title","Quantité à envoyer pour déposer sur Hive OS?"
"ConfirmTransferToHive.ErrorMessage","Vous n'avez pas assez en quantité"
"FS.ConfirmatioTitle","Attention! Cette feuille de route est en cours d'exécution sur d'autres RIGs"
"FS.ConfirmatioMessage","Voulez-vous exécuter en tant que nouvelle feuille de route sur ce RIG ou mettre à jour avec d'autres RIGs?"
"FS.UpdateAll","Mettre à jour tous les RIGs"
"FS.CreateNewFS","Créer une nouvelle feuille de route"
"NvidiaCardForm.DelayPill","Retarder de quelques secondes avant de lancer [the pill]"
"NvidiaCardForm.DelayPillHint","Peut aider à éviter un bug sur certaines cartes 1080, essayez de définir cette valeur à 120 et plus."
"WorkerSettings.CardsQuantityHint","Le nombre de cartes dans le RIG est incrémenté automatiquement. Mais si vous avez besoin de le diminuer, veuillez mettre à jour ce paramètre"
"WorkerSettings.CardsQuantityPlaceholder","Entrer un nombre"
"Cards Quantity","Quantité de cartes"
"WorkerSettings.DisableGUI","Désactiver l'interface graphique au démarrage"
"WorkerSettings.DisableGUIHint","Ne pas démarrer le serveur X, console uniquement, pas de OC pour Nvidia"
"WorkerSettings.Resend","Renvoyer toutes les configs"
"WorkerSettings.ResendHint","Si le RIG n'est pas synchronisé, vous pouvez envoyer à tous les mineurs, OC et autres configs."
"Push","Envoyer"
"MinerForm.Template.examples","Exemples de modèles"
"MinerForm.Template.forMost","pour la plupart des pools"
"MinerForm.Template.for","pour"
"MinerForm.Template.text1","Pour une chaîne de caractères correcte, veuillez lire la section d'aide de votre pool, qui contient les détails sur la façon de la formater."
"MinerForm.Template.text2","sera substitué avec les valeurs correctes du portefeuille."
"MinerForm.Template.text3","sera remplacé par le nom du RIG."
"WDConfig.EnableWatching","Activer la surveillance pour le hashrate, si elle tombe en dessous de minimum, il y aura une tentative de redémarrage de mineur."
"WDConfig.RestartNotHelp","Si le redémarrage du Minage n'aide pas, le redémarrage du RIG sera effectué."
"WDConfig.On","Surveillance du Hashrate activé"
"WDConfig.Off","Surveillance du Hashrate désactivé"
"WDConfig.SetUsed","Définir des valeurs pour les mineurs utilisés"
"WDConfig.SetOther","Définir des valeurs pour d'autres mineurs"
"ConsoleCommand.ShowInfo","afficher des informations sur les cartes Nvidia"
"ConsoleCommand.ShowFreq","affiche les fréquences actuelles pour les cartes AMD"
"ConsoleCommand.LogsRam","fichiers journeaux sur la RAM pour préserver la clef USB"
"ConsoleCommand.LogsDisk","fichiers journeaux sur le disk, sera pris en compte après redémarrage"
"ConsoleCommand.ShowFreqAmd","affiche les fréquences actuelles pour les cartes AMD"
"ConsoleCommand.AmdExtended","afficher les informations étendues sur la carte AMD"
"ConsoleCommand.AmdVoltage","afficher la table de tension pour le GPU AMD #0"
"ConsoleCommand.SayHello","Connectez-vous à nouveau pour recharger les données"
"ConsoleCommand.ServiceBoot","Afficher les fichier journeaux de démarrage du Service Hive"
"ConsoleCommand.SendReset","send “reset” command to OpenDev watchdog"
"ConsoleCommand.SendPower","send “power” command to OpenDev watchdog"
"ConsoleCommand.GpuScript","script pour trouver les GPU en faisant tourner les ventilos"
"Deselect","Désélectionner"
"Overclocking Profiles","Profils d'overclocking"
"MinerForm.Url.PoolUrl","URL de pool incluant le protocole et le port"
"MinerForm.Url.ForFailOver","Pour les pools de basculement, il suffit de les écrire à la ligne suivante, le mot de passe est utilisé pour tous."
"MinerForm.BminerForm.With","avec"
"MinerForm.BminerForm.More","Plus"
"MinerForm.Url.ItHas","Il a le format de"
"MinerForm.Url.LooksLike","Par exemple, cela ressemble à"
"MinerForm.Url.Subscribe","if you are using flypool. Substitute"
"MinerForm.Url.IfYou","si vous vous connectez au pool via SSL."
"MinerForm.Url.Examples","exemples bminer"
"MinerForm.UserConfig.Text1","Mettez des paramètres supplémentaires dans la configuration si vous en avez besoin. Un sur chaque ligne dans le format suivant sans virgule ni point à la fin de la ligne. Reportez-vous à la configuration générée pour connaître les valeurs de configuration du mineur disponibles."
"MinerForm.UserConfig.Text2","régler la fréquence"
"MinerForm.UserConfig.Text3","régler la tension"
"MinerForm.UserConfig.Text4","Méthodes disponibles pour l'API du mineur"
"MinerForm.BMinerConfig.Text1","Vous pouvez mettre ici quelque chose comme"
"MinerForm.BMinerConfig.Text2","Liste de périphériques cuda séparés par des espaces"
"MinerForm.BMinerConfig.Text3","Plus d'options ici"
"MinerForm.BMinerConfig.Text4","Référence Bminer"
"MinerForm.Fork.List","La liste détaillée des duplicata est"
"MinerForm.Fork.here","ici"
"MinerForm.Fork.Run","Lancer"
"MinerForm.Fork.Check","pour vérifier les mises à jour du duplicata."
"MinerForm.Algo.Which","Quel algorithme utiliser pour miner. Pour"
"MinerForm.Algo.ItShould","Cela devrait etre"
"MinerForm.Algo.Example","par exemple"
"MinerForm.InstallUrl.Where","URL where to get"
"MinerForm.InstallUrl.Package","paquet. Il ne sera pas téléchargé s'il est déjà installé."
"MinerForm.Miner","C'est le nom du mineur installé. Comme"
"MinerForm.CCPoolExtra","Mettez des paramètres supplémentaires de la pool si vous en avez besoin. Un sur chaque ligne dans le format suivant sans virgule ni point à la fin de la ligne. Exemple de paramètres"
"MinerForm.CCExtra.Text1","Ce sont des paramètres supplémentaires pour le mineur. Un sur chaque ligne dans le format suivant sans virgule ni point à la fin de la ligne. Exemple de paramètres"
"MinerForm.CCExtra.Text2","verbose dump of protocol-level activities"
"MinerForm.CCExtra.Text3","liste des périphériques CUDA à utiliser séparée par des virgules"
"MinerForm.CGMInerConf.Text1","Mettez des paramètres supplémentaires dans la configuration si vous en avez besoin. Un sur chaque ligne dans le format suivant sans virgule ni point à la fin de la ligne."
"MinerForm.CGMInerConf.Text2","désactiver le contrôle des Fans"
"MinerForm.CGMInerConf.Text3","Exemple de paramètres pour Cryptonight"
"MinerForm.CGMInerConf.Text4","Exemple de paramètres pour Ethash"
"MinerForm.CGMInerConf.Text5","Voir ce qui ne va pas"
"MinerForm.CGMInerConf.Text6","Sélectionnez le périphérique à utiliser, une valeur, une plage et / ou une virgule (par exemple, 0-2,4)"
"MinerForm.CGMinerFork.Text1","Vous devez essayer différentes versions car chacune d'elles peut ne pas fonctionner avec certains algos ou pools."
"MinerForm.CGMinerFork.Text2","Essayez aussi d'ajouter"
"MinerForm.CGMinerFork.Text3","et"
"MinerForm.CGMinerFork.Text4","dans la configuration pour voir plus de détails pour détecter le problème."
"MinerForm.CGMinerFork.Text5","La liste détaillée des duplicata est"
"MinerForm.CGMinerFork.Text6","ici"
"MinerForm.DpoolTpl.Text1","exemple pour SIA sur nanopool"
"MinerForm.DpoolTpl.Text2","sera substitué avec les valeurs correctes du portefeuille. Pour une chaîne WALLET correcte, veuillez lire la section d'aide de votre pool, elle a les détails sur la façon de la formater."
"MinerForm.ClaymoreDescr.Text1","Intensité pour Decred/Siacoin/Lbry/Pascal. La valeur par défaut est 30."
"MinerForm.ClaymoreDescr.Text2","Pour le PASC, la valeur raisonnable est d'environ 10, tandis que pour le SIA, elle est d'environ 15. Des valeurs plus élevées provoqueront une perte sur l'ETH."
"MinerForm.ClaymoreConfig.Text1","Mettez ici les paramètres que vous souhaitez voir apparaître dans config.txt de Claymore, UN PAR LIGNE. Par exemple"
"MinerForm.ClaymoreConfig.Text2","mettra les ventilos à 100%"
"MinerForm.ClaymoreConfig.Text3","fixera la température cible à 65°C"
"MinerForm.ClaymoreConfig.Text4","désactiver le contrôle du ventilateur"
"MinerForm.ClaymoreConfig.Text5","utiliser les GPU 3, 4, 10, 11"
"MinerForm.ClaymoreConfig.Text6","Prière de se référer à"
"MinerForm.ClaymoreConfig.Text7","Claymore documentation"
"MinerForm.ClaymoreConfig.Text8","pour d'autres réglages"
"MinerForm.CpuMinerConfig.Text1","Mettez des paramètres supplémentaires dans la configuration si vous en avez besoin. Un sur chaque ligne dans le format suivant sans virgule ni point à la fin de la ligne. Exemple de paramètres"
"MinerForm.CpuMinerConfig.Text2","nombre de threads du mineur (par défaut: nombre de processeurs). Recommandation pour la plupart des algos n = coeurs- 1"
"MinerForm.CpuMinerConfig.Text3","définir l'affinité du processus pour les cpu core, mask 10 (0xA) pour les cœurs 1 et 3"
"MinerForm.CpuMinerConfig.Text4","temp en degrés Celsius (la valeur par défaut est 85), arrête le minage."
"MinerForm.Server","Pour les pools de basculement, il suffit de les écrire un par ligne, le mot de passe est utilisé pour tous."
"MinerForm.DstmConf.Text1","Vous pouvez mettre ici quelque chose comme"
"MinerForm.DstmConf.Text2","Liste de périphériques CUDA séparés par des virgules"
"MinerForm.DstmConf.Text3","Réduire la charge, liste séparée par des virgules de dev_id: valeurs d'intensité"
"MinerForm.DstmConf.Text4","La charge de travail de chaque GPU sera ajustée en permanence de sorte que la température reste autour de cette valeur. Liste séparée par des virgules de dev_id: valeurs temp-target par exemple"
"MinerForm.EthServ.Text1","Pour le réseau, utilisez l'un des schémas suivants"
"MinerForm.EthServ.Text2","Pour le stratum, utilisez l'un des schémas suivants"
"MinerForm.EthServ.Text3","Exemples"
"MinerForm.EthConf.Text1","Vous pouvez mettre ici quelque chose comme"
"MinerForm.EthConf.Text2","quels périphériques OpenCL doit miner sur"
"MinerForm.EthConf.Text3","quels périphériques CUDA doit miner sur"
"MinerForm.EwbtConf.Text1","Mettez des paramètres supplémentaires dans la configuration si vous en avez besoin. Un sur chaque ligne dans le format suivant sans virgule ni point à la fin de la ligne. Exemple de paramètres"
"MinerForm.EwbtConf.Text2","utiliser uniquement des GPU spécifiques"
"MinerForm.EwbtConf.Text3","définir la limite de température personnalisée"
"MinerForm.LolConf.Text1","Vous pouvez mettre ici quelque chose comme"
"MinerForm.LolConf.Text2","Liste de périphériques séparés par des virgules"
"MinerForm.OptiConf.Text1","Vous pouvez mettre ici quelque chose comme"
"MinerForm.OptiConf.Text2","OpenCL ID du périphérique à utiliser. Si aucun périphérique n'est spécifié, tous sont utilisés"
"MinerForm.OptiConf.Text3","L'ID de plate-forme OpenCL à utiliser"
"MinerForm.OptiConf.Text4","Intensité du RIG. 0 signifie détection automatique en fonction de la mémoire disponible"
"MinerForm.XmConf.Text1","Mettez des paramètres supplémentaires dans la configuration si vous en avez besoin. Un sur chaque ligne dans le format suivant sans virgule ni point à la fin de la ligne. Exemple de paramètres"
"MinerForm.XmConf.Text2","réduire l'utilisation du processeur de 75% à 50%"
"MinerForm.XmConf.Text3","D'autres paramètres se trouvent dans"
"MinerForm.XmConf.Text4","xmrig doc"
"MinerForm.XmUrl.Text1","Adresse de la Pool devrait être sous la forme"
"MinerForm.XmUrl.Text2","Seuls les pools avec stratum sont pris en charge"
"MinerForm.XmUrl.Text3","Pour les pools de basculement, il suffit de les écrire à la ligne suivante, pass est utilisé un pour tous"
"MinerForm.XmStakCpuUrl.Text1","Adresse de la Pool devrait être sous la forme"
"MinerForm.XmStakCpuUrl.Text2","Seuls les pools avec stratum sont pris en charge"
"MinerForm.XmrAmd.Text1","Contenu complet de amd.txt, exemple ci-dessous"
"MinerForm.XmrAmd.Text2","Pour désactiver les GPU AMD"
"MinerForm.XmrAmd.Text3","Guide de réglage"
"MinerForm.XmrNvidia.Text1","Contenu complet de nvidia.txt, exemple ci-dessous"
"MinerForm.XmrNvidia.Text2","Pour désactiver les GPU Nvidia"
"MinerForm.XmrNvidia.Text3","Guide de réglage"
"MinerForm.XmrCpu","Contenu complet de cpu.txt, exemple ci-dessous"
"per","par"
"OC.DefaultConfig","Configuration par défaut"
"OC.DefaultHint","Utilisé par défaut. Peut être remplacé par la configuration de l'algo"
"Account.AuthenticationTokenCurrent","Tokens de session en cours"
"Account.AuthenticationTokenOther","Autres Tokens de session"
"Enter amount","Entrer un montant"
"Send","Envoyer"
"Revoke","Révoquer"
"Monitor","Surveiller"
"Tech","Tech"
"AccessLevel.Monitor","Surveillance et Statistiques, détails du RIG. Des Tags peuvent être affectées pour limiter la visibilité du RIG à des comptes approuvés."
"AccessLevel.Tech","Overclock, Redémarrage, Arrêt, Mise à niveau."
"AccessLevel.Rocket","Appliquer le mineur et le portefeuille à un RIG. Créez et supprimez des RIGs."
"AccessLevel.Advanced","Exécuter des commandes, VPN, portefeuilles, optimisation."
"AccessLevel.Full","Mot de passe, 2FA, Notifications, Paiements, Propriétaire."
"Full Access","Contrôle total"
"Advanced","Avancé"
"CompactView.Status.InvalidShares","Ratio bas ou shares invalides"
"CompactView.Status.HightTemperature","Température élevée"
"CompactView.Status.LowHashrate","Hashrate bas"
"Load Avg","Charge Moy."
"Subscribed","Abonné"
"Create Flight Sheets","Créer une feuille de route"
"Worker.FlightSheets.epmtyMessage","Commencé à miner"
"FS.ActiveFSEdit","La feuille de route est utilisée"
"FS.ApplyAll","Tous les RIGs"
"FS.AttachedWorlers","RIG rattaché"
"FS.ChangesWillBeApplied","Les modifications seront appliquées à tous les RIG utilisant cet FR."
"FS.NewFSWillBeCreated","Une nouvelle FR sera créée pour ce RIG et appliquée uniquement à celui-ci."
"FS.OnlyThis","Seulement ce RIG"
"Account.WhiteList","Liste blanche"
"Account.WhiteListHint","Ici, vous pouvez limiter les adresses IP qui ont accès à votre compte. Les valeurs sont séparées par des espaces."
"Account.WhiteListHint2","Votre IP actuelle est."
"Account.WhiteListHint3","Les vérifications de base sont effectuées sur le serveur afin de ne pas vous couper."
"Account.WhiteListExamples","Exemples:"
"Account.WhiteListExample1","une seule IP est autorisé"
"Account.WhiteListExample2","deux IPs sont autorisé"
"Account.WhiteListExample3","correspondra à toute IP commençant par 172.217.16."
"Account.WhiteListExample4","correspondra à toute IP commençant par 172.217."
"Account.WhiteListExample5","une seule IPV6 est autorisé"
"Account.WhiteListExample6","correspondra à toute IPV6 commençant par 2001:db8::"
"Account.WhiteListPlaceholder","Entrez IP"
"Account.WhiteListAddNewPlaceholder","Entrez nouvelle IP"
"CoinPaymentsDeposits","CoinPayments Deposits"
"Billing.TransactionFee","Ajouter les frais de transaction au montant spécifié"
"Billing.FAQ","Paiement FAQ"
"WorkerSettings.GuiTurnedOn","Interface graphique activée"
"WorkerSettings.GuiTurnedOff","Interface graphique désactivée"
"VPN.TurnedOn","VPN activée"
"VPN.TurnedOff","VPN désactivée"
"Are you shure?","Êtes-vous sur?"
"Account.AuthenticationTwoFactor5","Google Authenticator n'est pas le meilleur choix car si vous perdez le téléphone, vos codes ont disparu. Un conseil serait d'utiliser"
"BillingFarm.DaysUntil","Jours avant que la ferme ne soit bloquée"
"BillingFarm.ToLock","jours avant verrouillage"
"AMD","AMD"
"Card Types","Types de cartes"
"TEMP","TEMP"
"FAN","FAN"
"Core","Core"
"MEM","MEM"
"FlightSheets.ToManage","Pour gérer vos portefeuilles allez à"
"FlightSheets.WalletsPage","Page portefeuille"
"FS.WallAddress","Adresse portefeuille"
"Claymore User Config","Claymore Configuration Utilisateur"
"2FA.ON","Authentification à 2 facteurs activé (2FA)"
"2FA.OFF","Authentification à 2 facteurs désactivé (2FA)"
"Account.TwoFactorDisableDescription","Entrez le code pour désactiver 2FA. Le code QR enregistré (secret) ne fonctionnera plus, vous pouvez le supprimer après."
"MinerForm.Custom.InstallationUrl","URL d'installation"
"MinerForm.Custom.MinerName","Nom du lminer"
"AutoFans.ON","AutoFan On"
"AutoFans.OFF","AutoFan Off"
"AutoFans.TargetTemp","Temperature ciblée"
"AutoFans.MinFan","Ventilo Min."
"AutoFans.MaxFan","Ventilo Max."
"AutoFans.Critical","Température critique"
"AutoFans.NoAMDLabel","Non AMD"
"AutoFans.RebootOnErrors","Redémarrage sur erreurs"
"WDConfig.Minutes","minutes"
"WDConfig.MinerRestart","Redémarré le Miner après"
"WDConfig.RebootAfter","Redémarré le RIG après"
"Server","Serveur"
"Pass","Mot de passe"
"Port","Port"
"Template","Modèle"
"Server Urls","URLs Serveurs"
"PersonalToken.Placeholder","Entrez le nom du Token personnel"
"2FA Disabled","2FA activé"
"2FA Enabled","2FA désactivé"
"Discount","Remise"
"Monthly price","Prix mensuel"
"Daily use","Usage quotidien"
"Payments.DailyRigsUse","Usage quotidien RIGs"
"Payments.DailyRigsPrice","Prix quotidien RIGs"
"Payments.DailyAsicsPrice","Prix quotidien ASIC"
"Payments.DailyAsicsUse","Usage quotidien ASIC"
"Payments.Refill","Pour recharger votre solde"
"rig","rig"
"Coin.TypeIn","Selectionner une Crypto-Monnaie"
"CoinPaymentsDeposits.ShowAll","Afficher tous les dépôts"
"gained","attribué"
"subscribed","souscrit"
"OverclockingAlgoTable.CcAlgoResolved","Cliquer sur Ajouter pour configurer un OC pour cet algo"
"Algo","Algo"
"Billing Page","Page de facturation"
"Select algo","Selectionner un algo"
"more","plus"
"PaymentsList.CheckStatus","Vérifiez votre statut de paiement"
"AsicTable.Chain","Chaîne"
"AsicTable.ASIC","ASIC"
"AsicTable.Frequency","Fréquence"
"AsicTable.HW","HW"
"AsicTable.Temp","Temp"
"AsicTable.ASICStatus","Statut ASIC"
"FilterWallets.more","Plus de portefeuilles"
"Tuned","Configuré"
"MiningInfo.Title","Mining Info"
"MiningInfo.Tuned","Configurer le miner"
"OverclockingAlgoTable.more","plus"
"PowerGraph.Power","Alimentation"
"The latest","Dernière"
"for","pour"
"PoolConfigModal.EnterUrls","Entrer URLs"
"Intensity:","Intensité:"
"Wallet Address","Adresse du portefeuille"
"Dcoin","Dcoin"
"Example for nanopool","Exemple pour nanopool"
"WalletWorkTemplate:","Modèle de portefeuille et de RIG:"
"dstm 0.6.0 had changed config syntax","dstm 0.6.0 a changé la syntaxe de configuration"
"Action.OCUpdated","Profil d'Overclocking modifié avec succès"
"Action.OCRemoved","Profil d'Overclocking supprimé avec succès"
"Worker added","RIG ajouté"
"Worker removed","RIG supprimé"
"Worker updated successfully","RIG modifié avec succès"
"Password successfully updated","Mot de passe modifié avec succès"
"Worker has been transferred","Le RIG a été transféré"
"Action.RemoveAllWorkersMessages","Tous les messages des RIGs ont été effacés"
"Action.NowFarmYours","Vous êtes le nouveau propriétaire de la ferme"
"Action.RequestRejected","La demande a été rejetée avec succès"
"Action.LoginInvalid","Identifiant incorrecte"
"Action.KeyUpdated","Clef API modifée"
"Action.KeyRemoved","Clef API supprimée"
"Action.KeyAdded","Clef API ajoutée"
"Action.YouUnsubscribed","Vous êtes désinscrit avec succès"
"Action.YouSubscribed","Vous êtes inscrit avec succès"
"Action.WorkerUpdated","Mise à jour du RIG avec succès"
"Url","URL"
"Should be selected at least one server","Sélectionner au moins un serveur"
"Filed is required","Champs requis"
"NewRig","Il y du nouveau! Préparer la 🚀 pour la 🌕"
"NewRig.Read","Veuillez lire le"
"NewRig.Read2","Guide d'installation"
"NewRig.Read3","sur la façon de configurer votre RIG"
"or","ou"
"InfoWorker.Password","Le mot de passe doit comporter un ou plusieurs caractères."
"discount","remise/réduction"
"RemoveWorkerModal.Text1","Vous êtes sur le point de supprimer un Worker"
"RemoveWorkerModal.Text2","Les Workers supprimés NE POURRONT PAS être restoré! Êtes-vous ABSOLUMENT sûr?"
"RemoveWorkerModal.Text3","Cette action peut entraîner une perte de données. Pour éviter les actions accidentelles, nous vous demandons de confirmer votre intention"
"Workers removed","Workers supprimés"
"Shut down worker?","Arrêter le Worker?"
"Shut down workers?","Arrêter les Workers?"
"High Load Avg.","Charge Moy. elevée"
