"link","посилання"
"An error has occurred. Please, try again later","Виникла помилка. Спробуйте пізніше"
"Action.FlightSheetRemoved","Польотний лист успішно видалено"
"Action.FlightSheetCreated","Польотний лист успішно створено"
"Command sent","Команда відправлена"
"Action.TransferFarm","Запит на зміну власника був відправлений"
"Settings updated","Налаштування оновлені"
"Tag added","Тег додано"
"Tag edited","Тег відредаговано"
"Tag removed","Тег видалено"
"Wallet added","Гаманець додано"
"Wallet edited","Гаманець відредаговано"
"Wallet removed","Гаманець видалено"
"Collaborator added","Довірений користувач доданий"
"Collaborator removed","Довірений користувач видалений"
"Collaborator edited","Довірений користувач відредагований"
"Action.LeftFarm","Ви залишили ферму"
"Action.UpdateFs","Польотний лист успішно оновлено. Для воркерів, які зараз 'не в мережі', для вступу змін в силу необхідне перезавантаження"
"Action.AddOC","Профіль розгону успішно створено"
"Action.RefillFarm","Баланс ферми поповнено"
"Action.ErrorServerRequest","Виникла помилка. Спробуйте пізніше"
"Error","Помилка"
"Action.SendPromocode","Ваша підписка оформлена успішно"
"Action.PatchToken","Токен успішно поновлено"
"Action.AddToken","Токен успішно створено"
"Action.DeleteToken","Токен успішно анульовано"
"Promocode successfully sended","Промокод успішно відправлено"
"Action.UpdatePayoutAddresses","Адресу успішно змінено"
"Action.PayoutToAccount","Ваш баланс успішно поповнено"
"Action.SetPassword","Пароль успішно оновлено"
"2FA enabled","2FA дозволено"
"2FA removed","2FA видалено"
"NVIDIA","NVIDIA"
"Apply","Застосувати"
"Confirm","Підтвердити"
"TelegramSubscribe","Введіть ID Telegram для того, щоб підписатися"
"Enter code to confirm","Введіть код для підтвердження"
"Subscribe","Підписатися"
"Remove","Видалити"
"Are you shure?","Ви впевнені?"
"Edit","Редагувати"
"temp","темп-ра"
"Farms","Ферми"
"workers","воркери"
"ethash","ethash"
"CriticalIssues",""
"Off","Вимкн."
"30 seconds","30 секунд"
"1 minute","1 хвилина"
"2 minutes","2 хвилини"
"5 minutes","5 хвилин"
"AutoRefresh","Таймер авто-оновлення сторінки"
"All","Все"
"Cancel","Відміна"
"Download VBIOS","Скачати VBIOS"
"GPU index","GPU індекс"
"NotGPUDifferent","Примітка: GPU індекс в майнері може відрізнятися від порядку розташування на PCI шині"
"Download","Скачати"
"Apply Changes","Застосувати зміни"
"WalletWorkTemplate","Гаманець і воркер шаблону:"
"Pass:","Пароль"
"Extra config arguments:","Додаткові параметри конфігурації"
"Pool URL:","Адреса пула"
"Miner Fork:","Форк майнера:"
"Hash algorithm:","Хеш алгоритм:"
"Extra params for pool:","Додаткові параметри для пулу:"
"Extra arguments for miner:","Додаткові аргументи для майнера:"
"Version:","Версія:"
"Template examples:","Приклади шаблонів:"
"for most of the pools","для більшості пулів"
"Intensity, -dcri 0...100","Інтенсивність, -dcri 0...100"
"claymore","claymore"
"epools.txt template:","epools.txt шаблон:"
"dpools.txt template:","dpools.txt шаблон:"
"Claymore config override:","Claymore перевизначення конфігурації:"
"Example for nanopool:","Приклад для nanopool:"
"Example for nicehash:","Приклад для nicehash:"
"Second coin algo","Алгоритм другої монети"
"Config override:","Перевизначення конфігурації:"
"Pool server:","Сервер пулу:"
"Port:","Порт:"
"index","індекс"
"AMD config override:","AMD перевизначення конфігурації"
"Nvidia config override:","NVidia перевизначення конфігурації"
"CPU config override:","CPU перевизначення конфігурації:"
"Errors","Помилки"
"last 24 hours","за останні 24 години"
"Workers with errors","Воркери з помилками"
"No errors found","Помилок не виявлено"
"Show","Показати"
"Overclocking","Розгін"
"Coins","Монети"
"Pools","Пули"
"Miners","Майнери"
"Select pools","Обрати пули"
"Select miners","Обрати майнери"
"Select coin","Обрати монету"
"Select overclocking","Обрати розгін"
"by","від"
"View payload","Детальніше"
"Add Wallet","Додати гаманець"
"Red Temperature","Макс. температура"
"Trust user","Довірений користувач"
"Add Worker","Додати воркера"
"FarmNavCleanWorkers","Видалити повідомлення від усіх воркерів"
"Save","Зберегти"
"FarmTempHeader.ASICCriticalTemperature","ASIC критична температура"
"Ask a question","Поставити питання"
"Report an issue","Повідомити про проблему"
"Tags","Теги"
"Wallets","Гаманці"
"Platform","Платформа"
"Run","Пуск"
"Wallet","Гаманець"
"Coin","Монета"
"Pool","Пул"
"Miner","Майнер"
"Select pool","Вибрати пул"
"Select miner","Вибрати майнер"
"Select wallet","Вибрати гаманець"
"Configure Pool","Налаштувати пул"
"Setup Miner Config","Налаштування конфіга майнера"
"Dual Coin","Дуал монета"
"Dual Wallet","Дуал гаманець"
"Dual Pool","Пул для дуала"
"Configure in miner","Налаштувати майнер"
"Update","Оновити"
"Add New Flight Sheet","Додати новий польотний лист"
"Reset","Очистити"
"Create Flight Sheet","Створити польотний лист"
"Add Miner","Додати майнер"
"Email","Email"
"worker","воркер"
"selected","обрано"
"FlightSheetsRocket.Message","Ви хочете застосувати поточний польотний лист для"
"Choose Flight Sheet for","Вибрати польотний лист для"
"Your Company","Ваша компанія"
"Home","Домашня сторінка"
"Admin","Адмін"
"Privacy","Конфіденційність"
"Not Found","Не знайдено"
"off","вимкн."
"No","Ні"
"min","хв."
"Remote","Зовнішній IP"
"Consumption","Споживання"
"AES","AES"
"Cores","Ядра"
"Motherboard","МП"
"Free space","Вільний ДП"
"Free RAM","Вільне ОЗП"
"OS version","ОС версія"
"Drivers","Драйвери"
"Yes","Так"
"System type","Тип системи"
"Kernel","Ядро"
"Local IP","Локальний IP"
"Load Average","Середнє навантаження"
"rigs","rigs"
"Jump to farms, workers...","Перехід до ферм, воркерів..."
"Notifications","Повідомлення"
"unread","непрочитане"
"Show all","Показати все"
"No notifications yet","Поки що немає повідомлень"
"View geo location","Подивитися геолокацію"
"from","з"
"Accept","Прийняти"
"Decline","Відмінити"
"Term expires in","Термін збігає о"
"Enter value","Введіть значення"
"Generate","Сгенерувати"
"Enter start date","Введіть початкову дату"
"Start date","Початкова дата"
"End date","Дата закінчення"
"Enter end date","Введіть дату закінчення"
"Name","Ім'я"
"Create","Створити"
"Russian","Російська"
"Chinese","Китайська"
"English","Англійська"
"NoActiveFound","Не було активностей"
"all activities","вся активність"
"Latest Activity","Остання активність"
"Load","Завантажити"
"warning","в dstm 0.6.0 змінився синтаксис конфігураційного файлу"
"Previous","Попередній"
"Next","Наступний"
"configuration","конфігурація"
"MiningInfo","Запуск польотного листа"
"Account","Аккаунт"
"Sign Out","Вийти з аккаунту"
"Billing","Білінг"
"Support","Підтримка"
"Community","Співтовариство"
"Forum","Форум"
"Referrals","Реферали"
"NoRightsMessage","Вибачте, у вас немає достатніх прав для перегляду цієї сторінки"
"to","в"
"Login","Логін"
"access","доступ"
"Notification.EventChanged","Нотифікація змінена"
"Notification.AccessChanged","Доступ змінений для"
"Notification.WhitelistChanged","Білий список змінений"
"Account.NotificationDescription6","Ви можете додати цього бота в групу чата, для того щоб, декілька адміністраторів могли слідкувати за воркерами.Створіть свою групу та додайте 'hiveosbot' як учасника. Код чата для груп - негативний, щось на зразок '-12345'."
"Account.NotificationDescription1","Почати чат з цим ботом."
"Account.NotificationDescription2","Бот відповість вам, та ви побачите свій КОД, який ви маєте ввести в полі праворуч. Щось на зразок '12345'"
"Account.NotificationDescription3","Ваш логін"
"Account.NotificationDescription4","Відправити команду боту"
"Account.NotificationDescription5","та він оформить підписку для вашого облікового запису для отримання повідомлень"
"Update Settings","Оновити налаштування"
"Fan","Вент."
"Core Clock","Частота ядра"
"Memory Clock","Частота пам'яті"
"Power Limit","Ліміт споживання"
"(0 for auto)","(0 авто)"
"(0 for stock value)","(0 для стокового значення)"
"NvidiaCardFrom.SpecifyDevice","Укажіть, до яких пристроїв повинен бути застосований особливий підхід (наприклад, перші ревізії GTX1080), --revA"
"NvidiaCardFrom.MemClock","Зазвичай це значення в два раза більше того, що ви бачите в AfterBurner. Наприклад, якщо в Windows це +800Mhz, тут ви повинні написати 1600"
"NvidiaCardFrom.OffLED","Виключити підсвічування (може не працювати на деяких картах)"
"OhGodAnETHlargementPill","OhGodAnETHlargementPill ('пігулка')"
"ValueCardSeparatedSpace.","Ви можете вказати одне значення для усіх карт або список значень для кожної карти, поділених прогалиною"
"one value for all GPUs.","одне значення для всіх GPU"
"means GPU0 = none, GPU1 = 100, etc.","означає GPU0 = нічого, GPU1 = 100, и так далі"
"Configure","Налаштувати"
"Overclocking Settings","Параметри розгону"
"OverclockingProfileModal.Text","Вибрати профіля розгону для"
"ApplyOverclockProfile","Ви бажаєте застосувати поточний профіль розгону для"
"Invalid Shares","Невалідні шари"
"Show all payments","Показати всі платежі"
"No payments yet","Не було платежів"
"Pool address","Адреса пула"
"Select pool address","Вказати адресу пула"
"Add New Pool","Додати новий пул"
"Enter email","Введіть email"
"Select Pool Server","Виберіть сервер пула"
"Selected Pool Servers","Вибрані сервери пулів"
"on","увімк."
"rights","правами"
"Workers","Воркери"
"Balance","Баланс"
"Shared with me","Поділився зі мною"
"Timezone","Часовий пояс"
"Create New Farm","Створити нову ферму"
"Select timezone","Вибрати часовий пояс"
"Input farm name","Введіть ім'я ферми"
"Mem State","Стан пам'яті"
"Core Voltage","Напруга ядра"
"Core State","Стан ядра"
"RadeonCardFrom.fanSpeed2","в Claymore перевизначення конфігурації"
"RadeonCardFrom.fanSpeed1","Ви можете встановити швидкість обертання вентилятора, але майнер (claymore) контролюватиме це в будь-якому випадку. Ви повинні відключити управління вентилятором в конфігурації Майнера, щоб це працювало. Прописати"
"RadeonCardFrom.memState.text3","Ви повинні використовувати цей параметр разом з налаштуванням 'Частота пам'яті'"
"RadeonCardFrom.memState.text2","RX карти, які, як відомо, мають 1 або 2 стани пам'яті (фактично 3, включаючи 0 - стан простою). За замовчуванням буде вибрано найвище стан. Але деякі рідкісні карти, як відомо, не піддаються зниженню споживання в найвищому стані і вимагають вибору нижчого. Наприклад, найвище значення дорівнює 2, і для зниження напруги ви хочете встановити стан 1."
"RadeonCardFrom.memState.text1","Це дуже просунутий параметр. Спробуйте це, якщо є проблеми зі зниженням напруження. Якщо все працює і так - не чіпайте."
"RadeonCardFrom.coreVddc.text5","з таблиці VBIOS"
"RadeonCardFrom.coreVddc.text4","мається на увазі мВ або подібні значення"
"RadeonCardFrom.coreVddc.text3","Ви можете встановити такі значення, як"
"RadeonCardFrom.coreVddc.text2","стан буде використовуватися для встановлення напруги"
"RadeonCardFrom.coreVddc.text1","Це необхідно, якщо ви спробуєте знизити напругу ядра відеокарти. І ви ПОВИННІ встановити 'Стан ядра' або за замовчуванням"
"RadeonCardFrom.coreState.text4.","Зменшити значення напруги для пониження споживання"
"Default is","За замовчуванням"
"RadeonCardFrom.coreState.text2","DPM (Динамічне управління живленням)"
"RadeonCardFrom.coreState.text1","Це необхідно, якщо ви спробуєте знизити живлення відеокарти. Ви повинні використовувати цей параметр разом з 'Частота ядра' і 'Напруга ядра'."
"RadeonCardFrom.coreClock.text2","Якщо 'Стан ядра' не задано, то значення за замовчуванням"
"RadeonCardFrom.coreClock.text1","Вставіть частоту ядра тут, гарне значення буде біля"
"RadeonCardFrom.coreClock.text3","стан буде використовуватися для встановлення частоти"
"Refill","Поповнити"
"balance","баланс"
"per month","за 1 місяць"
"Recommended payment is","Рекомендований платіж"
"From balance","З балансу"
"With Coinpayment","Оплатою через Coinpayments"
"Console","Консоль"
"Execute command","Виконати команду"
"Wrong command","Неправильна команда"
"Remove all messages?","Видалити всі повідомлення"
"EDIT","РЕДАГУВАТИ"
"Overview","Огляд"
"Cards","Карти"
"CONSOLE","КОНСОЛЬ"
"Offline","Не в мережі"
"Booted","Запустився"
"Uptime","Час роботи"
"TRANSFER","ПЕРЕДАЧА"
"Monitoring","Моніторинг"
"Reboot","Перезапуск"
"Miner Config","Конфіг майнера"
"Rocket","Ракета"
"Upgrade","Оновити"
"Shutdown","Виключити"
"OpenVPN configuration","OpenVPN конфігурация"
"Power actions","Дії щодо живлення"
"Server URL","Сервер URL"
"Edit tags","Редагувати теги"
"Miner actions","Дії майнера"
"Teleconsole Start","Teleconsole запустити"
"Teleconsole Stop","Teleconsole зупинити"
"Teleconsole Restart","Teleconsole перезапустити"
"Hashrate watchdog","Вотчдог по хешрейту"
"Run command","Виконати команду"
"Miner Log","Лог майнера"
"Stop Miner","Зупинити майнер"
"Restart Miner","Перезапустити майнер"
"Remote access","Віддалений доступ"
"more messages","більше повідомлень"
"Add","Додати"
"Password","Пароль"
"Description","Опис"
"Add New Worker","Додати нового воркера"
"RigForm.EnterWorkerName","Введіть ім'я воркера"
"RigForm.EnterWorkerPassword","Введіть пароль воркера"
"RigForm.EnterWorkerDescription","Введіть опис воркера"
"rejected","відхилені"
"shared","спільно"
"Upgrade to","Оновити до"
"New features","Нові можливості"
"New version","Нова версія"
"Current version","Поточна версія"
"SaveOCModal","Зберегти профіль розгіну"
"Enter Name","Введіть ім'я"
"SaveOverclockingAsTemplate.Name","Ім'я профіля розгону"
"SaveOverclockingAsTemplate.Title","Зберегти розгін як шаблон"
"Set","Встановити"
"Default","За замовчуванням"
"Choose URL","Вибрати URL"
"ServerUrlFrom.Help3","Будьте уважні! Завжди готуйте фізичний або мережевий доступ (SSH) до воркера, перш ніж змінювати цей параметр. Якщо воркер не може підключитися до вибраного URL-адресою, він буде в стані 'не в мережі' для Hive. Дзеркальний URL-адрес зберігається в /hive-config/rig.conf де ви можете редагувати його вручну."
"ServerUrlFrom.Help2","Якщо ви залишите це як 'За замовчуванням' тоді Hive може визначати до якого з серверів підключатися. Зазвичай він буде першим у списку."
"ServerUrlFrom.Help1","Якщо у вас виникли проблеми з підключенням сервера Hive від вашого воркеру і часто виникають помилкові події не в мережі / в мережі, ви можете спробувати вибрати інший URL-адрес для підключення до сервера. Іноді виникає проблема з брандмауером (ваш власний або ISP) і зміна порту може допомогти."
"Mirror Select","Вибір дзеркала"
"Stats","Статистика"
"gpu","gpu"
"for 24 hours","за 24 години"
"View all","Продивитися все"
"day","день"
"Day left","День лишився"
"Days left","Днів лишилось"
"New Tag Name","Нове ім'я тега"
"Add Tag","Додати тег"
"Add tag","Додати тег"
"Explore transaction","Подивитися транзакцію"
"Referrals.TransactionsNotFound","Не було транзакцій"
"Upload VBIOS","Завантажити VBIOS"
"VBIOS ROM file","VBIOS ROM файл"
"UploadingBiosFromLabel","Примусово прошити, ігноруючи перевірки і налаштування безпеки"
"Upload","Завантажити"
"VPN.ClientConf","client.conf (з вбудованими сертифікатами, завантажити тільки цей файл)"
"Login (auth-user-pass)","Логін (auth-user-pass)"
"Password (auth-user-pass)","Пароль (auth-user-pass)"
"Address","Адрес"
"Enter wallet address","Введіть адрес гаманця"
"Enter wallet name","Введіть ім'я гаманця"
"Accepted shares ratio","Співвідношення прийнятих шар"
"Invalid shares","Невалідні шари"
"High Temperature","Висока температура"
"Low hashrate","Низький хешрейт"
"cores","ядер"
"Hive OS Version:","Hive OS версія:"
"Power:","Споживання"
"Free disk space:","Вільний простір на диску"
"Restart","Перезапуск"
"Stop","Стоп"
"Shut Down","Виключити"
"Overclocking profiles","Профіль розгіну"
"WorkerActions.Upgrade","Ви хочете обновити воркери до останньої версії HiveOS?"
"WorkerMiner.Tooltip","Прийнято Відхилено Недійсні, Співвідношення прийнятих"
"NoStatsFoundSoFar","Немає статистики для відображення"
"Delete","Видалити всі повідомлення"
"You can","Ви можете"
"create one","створити його"
"FarmsAccess.NoUsersFound","Не знайдено користувачів."
"Owner","Власник"
"Access Levels","Рівні доступу"
"User name","Ім'я користувача"
"UserEditForm.GrantAccessProject","Надати доступ до проекту"
"Grant access","Надання доступу"
"Access Levels...","Рівні доступу..."
"User login","Логін користувача"
"ProjectAccess.TrustUserDescription","Ви можете надати контроль доступу до вашої ферми іншим користувачам, наприклад, ви могли б надати права доступу для повного доступу своїм адміністраторам, щоб вони могли керувати всім на своєму місці. Або ви можете надати привілеї доступу монітора тільки для читання до вашого технічного персоналу, які виконують просте обслуговування і моніторинг, і нічого більше."
"Profile","Профіль "
"Telegram","Telegram"
"here","тут"
"Bio","Біографія"
"Update Info","Оновити інформацію"
"Company Info","Інформація про компанію"
"Skype","Skype"
"Phone","Телефон"
"API docs are","API документація"
"Account.SetupTFAuth","Налаштування двофакторної аутентифікації (2FA)"
"Account.TFAuth","Двофакторна аутентифікація (2FA)"
"Update Password","Оновити пароль"
"Confirm New Password","Підтвердити новий пароль"
"Account.PasswordError","Пароль повинен містити 8 або більше символів."
"New Password","Новий пароль."
"Current Password","Поточний пароль"
"Full Name","Повне ім'я"
"Account.ProfileSettings.Header","Налаштування профіля аккаунту"
"Language","Мова"
"Account.BIODescription1","Додаткова інформація про вас"
"Account.BIODescription2","Це опціонально"
"Account.AuthenticationDecstiption","Увімкніть, щоб ваш обліковий запис Hive OS став з додатковим рівнем безпеки."
"Account.PasswordDescription","Зміна пароля також скидає ваш API ключ."
"Account.ProfileDescription","Ваш логін - це ваша ідентифікація в Hive OS і використовується для входу в систему."
"6 digits code","6 цифр коду"
"Enable 2FA","Включити 2FA"
"Turn off 2FA","Виключити 2FA"
"Account.AuthenticationTokenButton","Створити новий персональний API токен"
"Authentication Tokens","Токени аутентифікації"
"Account.AuthenticationToken","Ви можете керувати своїми персональними API токенами. Ви можете створити новий для свого стороннього додатка. Або видалити підозрілу сесію"
"Personal Tokens","Персональні токени"
"Session Tokens","Ідентифікатори сеансів"
"Authy","Authy"
"Account.AuthenticationTwoFactor3","який може бути встановлений на деяких пристроях у тому числі ПК"
"Account.AuthenticationTwoFactor4","Відскануйте код за допомогою вашої камери та введіть код нижче."
"Farm Activity Feed","Стрічка активності ферми"
"Pay","Сплатити"
"Payments","Платежі"
"Amount to refill, $","Сума для поповнення, $"
"Your Current Balance","Ваш поточний баланс"
"Payments History","Історія платежів"
"Farms Balance","Баланс ферм"
"Free","Безкоштовно"
"Invoice","Рахунок"
"days left","днів залишилося"
"Disable Paid Features","Відключити платні функції"
"Enable Paid Features","Увімк. платні функції"
"Log in","Авторизуватись"
"Return to","Повернутись до"
"Reset password","Скинути пароль"
"Type email to recover password","Введїть email для встановлення пароля"
"Error.Text","На жаль, на цій сторінці сталася критична помилка."
"Just one step!","Просто один крок!"
"create wallet","створити гаманець"
"first!","перший!"
"Farm.FarmsFs.Description","Для управління польотними листами вам необхідно"
"FarmOC.EmptyMessage","Немає створених профілів розгону. Ви можете"
"Add OC Profile","Додати OC профіль"
"Incoming farms","Вхідні ферми"
"Log in your account","Увійдіть до свого облікового запису"
"2FA code (if enabled)","2FA код (якщо включено)"
"Remember me","Запам'ятати мене"
"Forgot password?","Забули пароль?"
"Register","Зареєструватися"
"Don't have account yet?","У вас ще немає облікового запису?"
"Referral Link","Реферальне посилання"
"Referral.ReferralLink1","Додайте це посилання де завгодно, і люди будуть позначені як ваші реферали, якщо вони перейдуть цим посиланням і зареєструються. Після реєстрації ви отримуєте"
"Your referral","Ваше реферальне"
"Copy to Clipboard","Скопіювати в буфер обміну"
"Promo Code","Промо код"
"Referral.PromoCodeDescription1","Іноді ви не можете передати своє посилання людям. Тут ви можете створити свій унікальний промокод, наприклад 'MIKESHIVE' або 'SAVEBUCKSFORLAMBO'. Якщо ви продавець устаткування або продавець послуг або представник будь-якого іншого офлайн бізнесу"
"Referral.PromoCodeDescription2","на їх рахунок, як тільки вони це зроблять."
"ETH Wallet Address","ETH адреса гаманця"
"Referral Balance","Реферальний баланс"
"Deposit to Hive","Депозит в Hive"
"ReferralTransactionsHistory","Історія реферальних транзакцій"
"Referral.BalanceDescription2","Вкажіть ETH гаманець для автоматичних виплат на початку кожного місяця."
"Referral.BalanceDescription1","майнерів приєдналося за ваши запрошенням."
"Referral.BalanceDescription3","Виплата реферальних бонусів проводиться один раз на місяць. Вам буде виплачено, якщо ви вказали правильну адресу тут. "
"Referral.BalanceDescription4","Мінімальна сума виплати становить еквівалент 25 дол США."
"Referral.BalanceDescription5","Через високу вартість комісії за BTC транзакцію ваша валюта виплат може бути змінена."
"Referral.PromoCodeYoungAccount","Ваш обліковий запис надто 'молодий', щоб використовувати промо-коди."
"Referral.BalanceDescription","У вас поки немає реферальних винагород."
"Passwords do not match","Паролі не співпадають"
"Create new account","Створити новий аккаунт"
"Confirm password","Підтвердити пароль"
"Register.CheckboxLabelText","Натискаючи «Зареєструватися», ви погоджуєтеся з"
"Terms","Умови"
"Register.HaveAccount","У вас вже є аккаунт?"
"RestorePassword.Message","Пароль успішно відправлений, будь ласка перевірте свою пошту"
"Remove all","Видалити усе"
"Id","ld"
"Activity Feed","Стрічка активності ферми"
"Build Log","Журнал збірки"
"Other","Інший"
"Flight Sheet","Польотний лист"
"Flight Sheets","Польотні листи"
"FlightSheets.Message","Щоб почати майнити, виберіть 'Польотний лист'!"
"StartConfOverclocking","Почати налаштування розгону"
"Flash VBIOS","Прошити VBIOS"
"OverclocingSettingsFoundSoFar","Поки немає налаштувань розгону."
"Load From Template","Завантаження з шаблону"
"Save As Template","Зберегти як шаблон"
"Reset All","Скинути усе"
"Configure New Algo","Налаштувати новий алгоритм"
"Transfer","Перенесення"
"Advanced Settings","Розширені налаштування"
"Confirmation required","Необхідно підтвердження"
"Settings.RemoveProject2","Видалений проект НЕ МОЖЕ бути відновлений! Ви ПОВНІСТЮ впевнені?"
"Settings.RemoveProject3","Ця дія може призвести до втрати даних. Щоб запобігти випадкові дії, ми просимо вас підтвердити свій намір"
"Please type","Будь ласка наберіть"
"Settings.RemoveProject4","продовжити або закрити цей режим для скасування."
"Settings.RemoveProject1","Ви збираєтеся видалити воркера"
"Remove Worker","Видалити воркера"
"Settings.RemovedWorker","Видалений воркер не може бути відновлений!"
"Update Worker","Оновити воркера"
"Worker Name","Ім'я воркера"
"Worker Settings","Налаштування воркер"
"OpenVPN Config","OpenVPN конфігурація"
"Are you sure?","Ви впевнені?"
"Worker Password","Пароль воркера"
"Settings.ChangePass1","Якщо ви зміните пароль тільки в базі даних, і при цьому воркер буде активний, тоді воркер перейде в режим 'не в мережі '."
"Settings.ChangePass2","Змініть пароль в базі даних і спробуйте змінити його на воркер. Спробуйте змінити пароль на воркер, який в мережі. Пароль буде змінений тільки після повідомлення від воркер."
