"link","посилання"
"Settings.ChangePass3","Змінити пароль тільки в базі даних. Воркер з поточним паролем буде відключений."
"Transfer Worker","Перенесення воркер"
"Settings.WalletTransferFarm","Перенести воркера на іншу ферму"
"Settings.RemoveProject5","Ви хочете видалити воркера?"
"Settings.WalletTransfer","Гаманець не переноситься з воркером. Будь ласка, застосуйте гаманець з іншого ферми після того як переміщення буде завершено."
"Settings.ConfirmTransferWorker","Ви хочете перенести воркера?"
"Select farm","Вибрати ферму"
"Settings.TransferWorker","Польотний лист не буде копіюватися з воркером. Будь ласка, застосуйте польотний лист в новій фермі після завершення операції перенесення воркера."
"Transfer Worker?","Перенести воркера?"
"Tuning","Тюнінг"
"Worker","Воркер"
"Online","В мережі"
"With Errors","З помилками"
"Hide filters","Сховати фільтри"
"Show filters","Показати фільтри"
"with","з"
"Name changed","Ім'я змінено"
"Farm settings","Налаштування ферми"
"Settings.MargeProject","Ви можете об'єднати проект тільки з другим, яким ви керуєте."
"Merge Project","Об'єднати проект"
"Transfer Project","Перенесення проекту"
"Type project name","Введіть назву проекту"
"Select user login","Вибрати логін користувача"
"Remove Project","Видалити проект"
"Farm.Setting.Text1","Ви збираєтеся видалити ферму"
"Type Project Name","Введіть назву проекту"
"You are going to merge farm","Ви збираєтеся об'єднати ферму"
"Merged project CANNOT be restored!","Неможливо відновити об'єднаний проект!"
"Are you ABSOLUTELY sure?","Ви ПОВНІСТЮ впевнені?"
"Save Changes","Зберегти зміни"
"Timezone changed","Часовий пояс змінено"
"Farm changed","Ферма змінена"
"Farm.Settings.TagsDescription","Додайте свої власні теги, щоб позначити воркери"
"Farm.Settings.RemoveDescription1","Видалення проекту призведе до видалення його сховища і всіх пов'язаних з ним ресурсів, включаючи проблеми, запити на об'єднання і таке інше."
"Farm.Settings.RemoveDescription2","Вилучені проекти не можуть бути відновлені!"
"Farm Title","Назва ферми"
"Remove Farm","Видалити ферму"
"Question.ChangeFarmOwner","Змінити власника ферми?"
"ChangeOwnership","змінити власника на"
"Leave Farm","покинути ферму"
"Settings.LeaveFarm","Після цього у вас більше не буде доступу до цієї фермі"
"RemoveFarmAccess","видалити доступ до ферми"
"Question.RemoveAccess","Ви хочете видалити ваш доступ?"
"Question.RemoveFarm","Ви хочете видалити ферму?"
"Question.LeaveFarm","Ви хочете залишити ферму?"
"Farm.Setting.FarmHashDescription1","Farm Hash використовується для підключення воркеру до ферми без попереднього створення у веб."
"Farm.Setting.FarmHashDescription2","Просто встановіть його в"
"Farm.Setting.FarmHashDescription3","перед першим запуском."
"More details","Більш деталей"
"Farm Hash","Farm Hash"
"Transfer farm","Передача ферми"
"Farm.Setting.TransferDescription","Передайте ферму іншому користувачеві. Введіть логін існуючого користувача, який буде власником нової ферми."
"No wallets found so far.","Ще немає гаманців"
"FlightSheetForm.NamePlaceholder","Введіть назву польотного листу"
"FSFormItem.DcriHelp","Decred / Siacoin / Lbry / Pascal інтенсивність. Значення за замовчуванням - 30. Для PASC рекомендується - 10, для SIA 15. Більш високі значення негативно позначаться на майнінгу Ethash монети"
"PoolConfigModal.Advanced","Розширена конфігурація"
"PoolConfigModal.AdvancedHint","<strong> Будьте обережні! </strong> Кожна URL-адреса має бути з нового рядка."
"PoolConfigModal.PoolUrls","Введіть адреси"
"FS.ConfiguredInMiner","Налаштувати в майнері"
"AutoFan","AutoFan"
"Token","Токен"
"PageNotFound","Вибачте, ця сторінка не існує"
"ConfirmPassword.Message","Введіть новий пароль і токен буде висланий вам на ваш email"
"Ethminer.OpenCLCudaHint","Виберіть платформу GPU для використання. Зауважте, що використання OpenCL та CUDA разом може призвести до помилки. Спробуйте використати <code> - opencl-platform 1 </code> або <code> 0 </code> додаткових параметрах, щоб він працював."
"AllRedTemps.Hint","Температура буде пофарбована в червоний колір вище цих значень"
"RedTemp.Hint","Температура буде пофарбована в червоний колір вище цього значення"
"AutoFans.NoAMD","Не керувати AMD картами, тільки NVidia"
"AutoFans.Info","Увімкнути керування вентиляторами. Він буде тримати GPU близько до цільової температури. Майнінг буде зупинено при досягненні критичної температури. Не забудьте вимкнути керування вентилятором у майнері для карт AMD."
"RadeonCardFrom.coreState.text3","або 'Рівень потужності' ядра GPU. Для карт RX це значення від"
"RadeonCardFrom.AggressiveUndervolting","Агресивне зниження живлення (встановлення OC для кожного стану DPM)"
"Settings.VPN","VPN не можна змінити прямо зараз. Команда виконується"
"VPN.HelpInfo","Файли будуть називатися такими, тому сертифікати в client.conf мають називатися ca.crt, client.crt, client.key. Також ви можете вставляти сертифікати в client.conf і завантажувати лише один файл."
"Required filed","Обов'язкове поле"
"Promocode","Промо-код"
"GPU","GPU"
"ASICS","ASICs"
"Account Login","Вхід до аккаунту"
"Password changed","Пароль змінено"
"Settings.transferTargetText","Вы вже відправили запит на переміщення до"
"FarmTempHeader.GPUCriticalTemperature","Критична температура GPU"
"Account.AuthenticationTwoFactor1","Зробіть резерну копію цього коду! Найкращий спосіб це зробити скріншот і роздрукувати його."
"Account.AuthenticationTwoFactor2","Якщо ви втратите код, то ви не зможете відновити доступ до облікового запису, у разі якщо ви втратите аутентифікаційний пристрій (ваш телефон)."
"SelectAmd","Обрати AMD карту"
"Activity","Активність"
"Access","Доступ"
"Settings","Налаштування"
"Unsubscribe","Відписатись"
"File shouldn't be empty","Файл не повинен бути порожнім"
"TheLatestActivity","Остання активність"
"Referal.EnterPromocode","Ваш креативний промокод тут"
"FlightSheetFrom.AddMiner","Якщо вам потрібно декілька майнерів"
"Settings.NotificationSubscribe","Ви не підписані"
"OverclockingAlgoFrom.Title1","Редагувати налаштування розгону"
"OverclockingAlgoFrom.Title2","Конфігурація налаштувань розгону"
"NewWallet","Новий гаманець"
"EditWallet","Редагування гаманця"
"Settings.Notifications.AccountLogin","Вхід в аккаунт"
"Settings.Notifications.DetectedWorkerOffline","Воркер в мережі"
"Settings.Notifications.DetectedWorkerOnline","Воркер не в мережі"
"Settings.Notifications.WorkerBooted","Воркер завантажився"
"Settings.Notifications.ErrorMessages","Повідомлення про помилки"
"Settings.Notifications.WarningMessages","Попередження"
"Settings.Notifications.InfoMessages","Інформаційні повідомлення"
"Settings.Notifications.SuccessMessages","Виконано без помилок"
"Settings.Notifications.GPUTemp","GPU Temp >= Red Temp + 3°"
"Settings.Notifications.HourlySummary","Погодинний звіт"
"ConfirmTransferToHive.Title","How much send to deposit Hive OS?"
"ConfirmTransferToHive.ErrorMessage","You not have enough amount"
"FS.ConfirmatioTitle","Attention! This Flight Sheet is running at other workers"
"FS.ConfirmatioMessage","Do you want to run as a new Flight Sheet on this worker or update with other workers?"
"FS.UpdateAll","Update all workers"
"FS.CreateNewFS","Create new FS"
"NvidiaCardForm.DelayPill","Delay in seconds before running the pill"
"NvidiaCardForm.DelayPillHint","May help to prevent bug on some 1080 cards, try to set this value to 120 and higher."
"WorkerSettings.CardsQuantityHint","Number of cards in the worker increased automatically. But if you need decrease them, please update this parameter"
"WorkerSettings.CardsQuantityPlaceholder","Enter number"
"Cards Quantity","Cards Quantity"
"WorkerSettings.DisableGUI","Disable GUI on boot"
"WorkerSettings.DisableGUIHint","Don't start X server, console only, no OC for Nvidia"
"WorkerSettings.Resend","Resend all configs"
"WorkerSettings.ResendHint","In case the worker is unsynced you can send all miner, OC and other configs."
"Push","Push"
"MinerForm.Template.examples","Template examples"
"MinerForm.Template.forMost","for most of the pools"
"MinerForm.Template.for","for"
"MinerForm.Template.text1","For correct template string please read your pool help section, they have the details how to format it."
"MinerForm.Template.text2","will be substituted with correct values from the wallet."
"MinerForm.Template.text3","will be replaced with the worker name."
"WDConfig.EnableWatching","Enable watching for hashrate, if it drops below minimal then there will be attempt to restart miner."
"WDConfig.RestartNotHelp","If miner restart does not help, then reboot will be done."
"WDConfig.On","Hashrate Watchdog On"
"WDConfig.Off","Hashrate Watchdog Off"
"WDConfig.SetUsed","Set values for used miners"
"WDConfig.SetOther","Set values for other miners"
"ConsoleCommand.ShowInfo","show info about Nvidia cards"
"ConsoleCommand.ShowFreq","show current frequencies for AMD cards"
"ConsoleCommand.LogsRam","logs in RAM to save USB flash drives"
"ConsoleCommand.LogsDisk","logs on disk, will remain after reboots"
"ConsoleCommand.ShowFreqAmd","show current frequencies for AMD cards"
"ConsoleCommand.AmdExtended","show extended info about AMD card"
"ConsoleCommand.AmdVoltage","show voltage table for AMD GPU #0"
"ConsoleCommand.SayHello","say hello to server again to refresh data"
"ConsoleCommand.ServiceBoot","show hive service boot log"
"ConsoleCommand.SendReset","send “reset” command to OpenDev watchdog"
"ConsoleCommand.SendPower","send “power” command to OpenDev watchdog"
"ConsoleCommand.GpuScript","script to find GPU by spinning fans"
"Deselect","Deselect"
"Overclocking Profiles","Overclocking Profiles"
"MinerForm.Url.PoolUrl","Pool URL including protocol and port like"
"MinerForm.Url.ForFailOver","For failover pools just write them on the next line, pass is used onefor all."
"MinerForm.BminerForm.With","with"
"MinerForm.BminerForm.More","More"
"MinerForm.Url.ItHas","It has the format of"
"MinerForm.Url.LooksLike","For example, it looks like"
"MinerForm.Url.Subscribe","if you are using flypool. Substitute"
"MinerForm.Url.IfYou","if connecting to the pool via SSL."
"MinerForm.Url.Examples","bminer examples"
"MinerForm.UserConfig.Text1","Put extra params to the config if you need. One on each line in the following format without comas or dots at the end of line. Refer to generated config for available miner config values."
"MinerForm.UserConfig.Text2","set frequency"
"MinerForm.UserConfig.Text3","set voltage"
"MinerForm.UserConfig.Text4","miner API available methods"
"MinerForm.BMinerConfig.Text1","You can put here something like"
"MinerForm.BMinerConfig.Text2","Space separated list of cuda devices"
"MinerForm.BMinerConfig.Text3","More options here"
"MinerForm.BMinerConfig.Text4","Bminer reference"
"MinerForm.Fork.List","Detailed list of forks is"
"MinerForm.Fork.here","here"
"MinerForm.Fork.Run","Run"
"MinerForm.Fork.Check","to check fork updates."
"MinerForm.Algo.Which","Which algorithm to use for mining. For"
"MinerForm.Algo.ItShould","it should be"
"MinerForm.Algo.Example","for example"
"MinerForm.InstallUrl.Where","URL where to get"
"MinerForm.InstallUrl.Package","package. It will not be downloaded if already installed."
"MinerForm.Miner","This is the name of installed miner. Like"
"MinerForm.CCPoolExtra","Put extra params to the pool if you need. One on each line in the following format without comas or dots at the end of line. Example parameters"
"MinerForm.CCExtra.Text1","These are extra parameter for the miner. One on each line in the following format without comas or dots at the end of line. Example parameters"
"MinerForm.CCExtra.Text2","verbose dump of protocol-level activities"
"MinerForm.CCExtra.Text3","comma separated list of CUDA devices to use"
"MinerForm.CGMInerConf.Text1","Put extra params to the config if you need. One on each line in the following format without comas or dots at the end of line."
"MinerForm.CGMInerConf.Text2","to turn off fans control"
"MinerForm.CGMInerConf.Text3","Example parameters for Cryptonight"
"MinerForm.CGMInerConf.Text4","Example parameters for Ethash"
"MinerForm.CGMInerConf.Text5","To see what's wrong"
"MinerForm.CGMInerConf.Text6","Select device to use, one value, range and/or comma separated (e.g. 0-2,4)"
"MinerForm.CGMinerFork.Text1","You have to try different versions as each of them may not work with some algos or pools."
"MinerForm.CGMinerFork.Text2","Also try to add"
"MinerForm.CGMinerFork.Text3","and"
"MinerForm.CGMinerFork.Text4","in config to see more details to inspect the problem."
"MinerForm.CGMinerFork.Text5","Detailed list of forks is"
"MinerForm.CGMinerFork.Text6","here"
"MinerForm.DpoolTpl.Text1","example for SIA on nanopool"
"MinerForm.DpoolTpl.Text2","will be substituted with correct values from the wallet. For correct WALLET string please read your pool help section, they have the details how to format it."
"MinerForm.ClaymoreDescr.Text1","Decred/Siacoin/Lbry/Pascal intensity. Default value is 30."
"MinerForm.ClaymoreDescr.Text2","For PASC reasonable value is around 10, for SIA it's around 15. Higher values will cause dropdown on ETH mining."
"MinerForm.ClaymoreConfig.Text1","Put here settings which you want to appear in config.txt of Claymore, ONE ON EACH LINE. For example"
"MinerForm.ClaymoreConfig.Text2","will set fans to 100%"
"MinerForm.ClaymoreConfig.Text3","will set target temperature to 65C"
"MinerForm.ClaymoreConfig.Text4","to disable fan control"
"MinerForm.ClaymoreConfig.Text5","use GPUs 3, 4, 10, 11"
"MinerForm.ClaymoreConfig.Text6","Please refer to"
"MinerForm.ClaymoreConfig.Text7","Claymore documentation"
"MinerForm.ClaymoreConfig.Text8","for other settings"
"MinerForm.CpuMinerConfig.Text1","Put extra params to the config if you need. One on each line in the following format without comas or dots at the end of line. Example parameters"
"MinerForm.CpuMinerConfig.Text2","number of miner threads (default: number of processors). Recommedation for most algos n = cores - 1"
"MinerForm.CpuMinerConfig.Text3","set process affinity to cpu core(s), mask 10 (0xA) for cores 1 and 3"
"MinerForm.CpuMinerConfig.Text4","temp in degrees Celsius (default value is 85), stop mine."
"MinerForm.Server","For failover pools just write them on the next line, pass is used one for all."
"MinerForm.DstmConf.Text1","You can put here something like"
"MinerForm.DstmConf.Text2","Comma separated list of cuda devices"
"MinerForm.DstmConf.Text3","Reduce the load, comma separated list of dev_id:intensity values"
"MinerForm.DstmConf.Text4","The workload of each GPU will be continuously adjusted such that the temperature stays around this value. Comma separated list of of dev_id:temp-target values e.g"
"MinerForm.EthServ.Text1","For getwork use one of the following schemes"
"MinerForm.EthServ.Text2","For stratum use one of the following schemes"
"MinerForm.EthServ.Text3","Examples"
"MinerForm.EthConf.Text1","You can put here something like"
"MinerForm.EthConf.Text2","which OpenCL devices to mine on"
"MinerForm.EthConf.Text3","which CUDA devices to mine on"
"MinerForm.EwbtConf.Text1","Put extra params to the config if you need. One on each line in the following format without comas or dots at the end of line. Example parameters"
"MinerForm.EwbtConf.Text2","to use only specific GPUs"
"MinerForm.EwbtConf.Text3","to set custom temp limit"
"MinerForm.LolConf.Text1","You can put here something like"
"MinerForm.LolConf.Text2","Comma separated list of devices"
"MinerForm.OptiConf.Text1","You can put here something like"
"MinerForm.OptiConf.Text2","OpenCL device id to use. If no devices are specified, all are used"
"MinerForm.OptiConf.Text3","The OpenCL platform id to use"
"MinerForm.OptiConf.Text4","Worker intensity. 0 means auto-detect based on available memory"
"MinerForm.XmConf.Text1","Put extra params to the config if you need. One on each line in the following format without comas or dots at the end of line. Example parameters"
"MinerForm.XmConf.Text2","reduce CPU usage from 75% to 50%"
"MinerForm.XmConf.Text3","Other parameters find in"
"MinerForm.XmConf.Text4","xmrig doc"
"MinerForm.XmUrl.Text1","Pool address should be in the form"
"MinerForm.XmUrl.Text2","Only stratum pools are supported"
"MinerForm.XmUrl.Text3","For failover pools just write them on the next line, pass is used one for all"
"MinerForm.XmStakCpuUrl.Text1","Pool address should be in the form"
"MinerForm.XmStakCpuUrl.Text2","Only stratum pools are supported"
"MinerForm.XmrAmd.Text1","Full contents of amd.txt, example below"
"MinerForm.XmrAmd.Text2","To disable AMD GPUs"
"MinerForm.XmrAmd.Text3","Tuning guide"
"MinerForm.XmrNvidia.Text1","Full contents of nvidia.txt, example below"
"MinerForm.XmrNvidia.Text2","To disable Nvidia GPUs"
"MinerForm.XmrNvidia.Text3","Tuning guide"
"MinerForm.XmrCpu","Full contents of cpu.txt, example below"
"per","per"
"OC.DefaultConfig","Default Config"
"OC.DefaultHint","Used by default. Can be overridden by algo configuration"
"Account.AuthenticationTokenCurrent","Current Session Tokens"
"Account.AuthenticationTokenOther","Other Session Tokens"
"Enter amount","Enter amount"
"Send","Send"
"Revoke","Revoke"
"Monitor","Monitor"
"Tech","Tech"
"AccessLevel.Monitor","Monitor and Stats, Worker details. Tags can be assigned to limit workers visibility for trusted account."
"AccessLevel.Tech","Overclock, Reboot and Shutdown, Upgrade."
"AccessLevel.Rocket","Apply miner and wallet to worker. Create and delete Workers."
"AccessLevel.Advanced","Execute commands, VPN, Wallets, Tuning."
"AccessLevel.Full","Password, 2FA, Notifications, Payments, Ownership."
"Full Access","Full Access"
"Advanced","Advanced"
"CompactView.Status.InvalidShares","Low Ratio or Invalid shares"
"CompactView.Status.HightTemperature","High Temperature"
"CompactView.Status.LowHashrate","Low hashrate"
"Load Avg","Load Avg"
"Subscribed","Subscribed"
"Create Flight Sheets","Create Flight Sheets"
"Worker.FlightSheets.epmtyMessage","To start mining"
"FS.ActiveFSEdit","This Flight Sheet is active."
"FS.ApplyAll","All workers"
"FS.AttachedWorlers","Attached workers"
"FS.ChangesWillBeApplied","Changes will be applied to all the workers using this FS."
"FS.NewFSWillBeCreated","New FS will be created for this worker and applied only to it."
"FS.OnlyThis","Only this worker"
"Account.WhiteList","White List"
"Account.WhiteListHint","Here you can limit IPs that allowed to login to your account. The values are separated by spaces."
"Account.WhiteListHint2","Your current IP address is."
"Account.WhiteListHint3","Basic checks are done on server so you will not cut yourself off."
"Account.WhiteListExamples","Examples:"
"Account.WhiteListExample1","single IP address is allowed"
"Account.WhiteListExample2","two IPs are allowed"
"Account.WhiteListExample3","will match any IP staring with 172.217.16."
"Account.WhiteListExample4","will match any IP staring with 172.217.d"
"Account.WhiteListExample5","single IPV6 address"
"Account.WhiteListExample6","will match any IPV6 address staring with 2001:db8::"
"Account.WhiteListPlaceholder","Enter IP address"
"Account.WhiteListAddNewPlaceholder","Enter new IP address"
"CoinPaymentsDeposits","CoinPayments Deposits"
"Billing.TransactionFee","Add TRANSACTION FEE to the specified amount"
"Billing.FAQ","Payment FAQ"
"WorkerSettings.GuiTurnedOn","GUI turned On"
"WorkerSettings.GuiTurnedOff","GUI turned Off"
"VPN.TurnedOn","VPN turned On"
"VPN.TurnedOff","VPN Turned Off"
"Are you shure?","Are you shure?"
"Account.AuthenticationTwoFactor5","Google Authenticator is not the best choice as if you loose break the phone your codes are gone. An advice would be to use"
"BillingFarm.DaysUntil","Days until farm is locked"
"BillingFarm.ToLock","days to lock"
"AMD","AMD"
"Card Types","Card Types"
"TEMP","TEMP"
"FAN","FAN"
"Core","Core"
"MEM","MEM"
"FlightSheets.ToManage","To manage your wallets go to"
"FlightSheets.WalletsPage","Wallets page"
"FS.WallAddress","Wallet Address"
"Claymore User Config","Claymore User Config"
"2FA.ON","Two Factor Authentication turned On"
"2FA.OFF","Two Factor Authentication turned Off"
"Account.TwoFactorDisableDescription","Enter the code to disable 2FA. Saved QR code (secret) will no longer work, you can delete it after."
"MinerForm.Custom.InstallationUrl","Installation URL"
"MinerForm.Custom.MinerName","Miner name"
"AutoFans.ON","AutoFan On"
"AutoFans.OFF","AutoFan Off"
"AutoFans.TargetTemp","Target temperature"
"AutoFans.MinFan","Min fan speed"
"AutoFans.MaxFan","Max fan speed"
"AutoFans.Critical","Critical temperature"
"AutoFans.NoAMDLabel","No AMD"
"AutoFans.RebootOnErrors","Reboot on errors"
"WDConfig.Minutes","minutes"
"WDConfig.MinerRestart","Miner restart after"
"WDConfig.RebootAfter","Reboot rig after"
"Server","Server"
"Pass","Pass"
"Port","Port"
"Template","Template"
"Server Urls","Server Urls"
"PersonalToken.Placeholder","Enter name for personal token"
"2FA Disabled","2FA Disabled"
"2FA Enabled","2FA Enabled"
"Discount","Discount"
"Monthly price","Monthly price"
"Daily use","Daily use"
"Payments.DailyRigsUse","Daily Rigs Use"
"Payments.DailyRigsPrice","Daily Rigs Price"
"Payments.DailyAsicsPrice","Daily ASIC Price"
"Payments.DailyAsicsUse","Daily ASIC Use"
"Payments.Refill","To refill your balance visit"
"rig","rig"
"Coin.TypeIn","Type in Coin"
"CoinPaymentsDeposits.ShowAll","Show All Deposits"
"gained","gained"
"subscribed","subscribed"
"OverclockingAlgoTable.CcAlgoResolved","Click Add to set overclocking to this algo"
"Algo","Algo"
"Billing Page","Billing Page"
"Select algo","Select algo"
"more","more"
"PaymentsList.CheckStatus","Check your payment status"
"AsicTable.Chain","Chain"
"AsicTable.ASIC","ASIC"
"AsicTable.Frequency","Frequency"
"AsicTable.HW","HW"
"AsicTable.Temp","Temp"
"AsicTable.ASICStatus","ASIC Status"
"FilterWallets.more","more wallets"
"Tuned","Tuned"
"MiningInfo.Title","Mining Info"
"MiningInfo.Tuned","Tuned miner"
"OverclockingAlgoTable.more","more"
"PowerGraph.Power","Power"
"The latest","The latest"
"for","for"
"PoolConfigModal.EnterUrls","Enter Urls"
"Intensity:","Intensity:"
"Wallet Address","Wallet Address"
"Dcoin","Dcoin"
"Example for nanopool","Example for nanopool"
"WalletWorkTemplate:","Wallet and worker template:"
"dstm 0.6.0 had changed config syntax","dstm 0.6.0 had changed config syntax"
"Action.OCUpdated","Overclocking Profile successfully updated."
"Action.OCRemoved","Overclocking Profile successfully removed"
"Worker added","Worker added"
"Worker removed","Worker removed"
"Worker updated successfully","Worker updated successfully"
"Password successfully updated","Password successfully updated"
"Worker has been transferred","Worker has been transferred"
"Action.RemoveAllWorkersMessages","All workers' messages have been removed"
"Action.NowFarmYours","Now farm belongs to you"
"Action.RequestRejected","Request have been successfully rejected"
"Action.LoginInvalid","Invalid login"
"Action.KeyUpdated","API KEY updated"
"Action.KeyRemoved","API KEY removed"
"Action.KeyAdded","API KEY added"
"Action.YouUnsubscribed","You successfully unsubscribed"
"Action.YouSubscribed","You successfully subscribed"
"Action.WorkerUpdated","Worker updated successfully"
"Url","Url"
"Should be selected at least one server","Should be selected at least one server"
"Filed is required","Filed is required"
"NewRig","Looks something new! Let`s 🚀 to the 🌕"
"NewRig.Read","Please read the"
"NewRig.Read2","installation guide"
"NewRig.Read3","on how to setup your worker"
"or","or"
